location_id,name,description,adress_string,price_level,rating,num_reviews,review_rating_count,cuisine
23655580,Crous Paris Dauphine,,"Place Du Maréchal De Lattre De Tassigny, 75016 Paris France",,3.0,1,"{'1': '0', '2': '0', '3': '1', '4': '0', '5': '0'}","Pizza, Européenne, Saine"
8533491,Sushi Lounge,,"26 Rue de la Pépinière, 75008 Paris France",€€ - €€€,4.0,30,"{'1': '0', '2': '3', '3': '6', '4': '12', '5': '9'}","Japonaise, Sushi, Asiatique"
28395405,Cho Cho,,"54b Rue De Paradis, 75010 Paris France",,,0,,Française
23743850,Mian Fan Dumpling Factory,"bienvenue chez Mian Fan Dumpling Factory ! I Venez goûter les meilleurs raviolis chinois de tout Paris. Avec notre cuisine ouverte, généreuse et faite maison, vous allez (re)découvrir le régal de dumplings authentiques et de tapas asiatiques. Redécouvrez la tradition culinaire chinoise en plein cœur de Paris ! Lorsque vous poussez les portes de notre Dumpling Factory, vous entrez dans un univers parallèle où les saveurs sont reines et les ingrédients de première qualité. Dans l’assiette : des raviolis faits maison, relevés juste comme il faut et qui explosent littéralement en bouche. Si les dumplings sont les stars de notre carte, ce n’est pas la seule surprise que vous réserve la nouvelle adresse Mian Fan. Vous pourrez les accompagner des tapas de Madame Li : des recettes originales à déguster sur le pouce ou à partager entre amis. Et pour terminer sur une note sucrée, notre délicieux cheesecake maison, avec un choix de topping à faire tourner la tête.","29 Rue de Mogador, 75009 Paris France",,5.0,70,"{'1': '0', '2': '0', '3': '0', '4': '3', '5': '67'}","Asiatique, Saine"
21232219,Pizza Hut,"Dégustez le goût authentique de la véritable pizza Américaine chez Pizza Hut ! Depuis plus de 60 ans, nous servons à nos clients de délicieuses pizzas. Vous trouverez au menu un large choix de pizzas ainsi que des sides, desserts, boissons et autres spécialités. Envie de créer votre propre pizza ? C'est possible chez Pizza Hut ! Chez Pizza Hut nous avons à cœur de satisfaire toutes vos envies c'est pourquoi nous proposons un large choix de produits végétariens ou épicés. Commandez nos pizzas à emporter ou en livraison en ligne ou directement dans un de nos Huts.","129 Boulevard Saint-michel, 75005 Paris France",,1.0,1,"{'1': '1', '2': '0', '3': '0', '4': '0', '5': '0'}",
1335701,L'Esquisse,,"73 avenue de Suffren, 75007 Paris France",€€ - €€€,4.0,13,"{'1': '0', '2': '2', '3': '2', '4': '3', '5': '6'}",Française
11964486,Chez Lala,"Une décharge de saveurs, de couleurs pour cette cuisine sénégalaise goûteuse mélangé d'un accueil chaleureux et d'une ambiance conviviale. Un cocktail à boire sans modération.","52 rue Championnet, 75018 Paris France",€,4.5,17,"{'1': '1', '2': '0', '3': '0', '4': '1', '5': '15'}",Africaine
1174565,Maison des trois thés,,"1 rue Saint Medard, 75005 Paris France",€€€€,4.0,89,"{'1': '4', '2': '5', '3': '7', '4': '22', '5': '51'}",
18965216,ToyamaH,,"27 Rue Bayen, 75017 Paris France",€€ - €€€,2.5,4,"{'1': '2', '2': '0', '3': '1', '4': '0', '5': '1'}","Japonaise, Sushi"
23588354,Mcdonald's,,"2 Les Boulevard Arago, 75013 Paris France",,,0,,"Américaine, Restauration rapide"
719123,Le Fumoir,,"6 Rue de Admiral Coligny, 75001 Paris France",€€ - €€€,4.0,1492,"{'1': '54', '2': '53', '3': '172', '4': '590', '5': '623'}","Française, Européenne, Saine"
1035658,La Chaloupe,,"73 avenue de Suffren, 75007 Paris France",,4.0,1,"{'1': '0', '2': '0', '3': '0', '4': '1', '5': '0'}",
21380236,L’etoile de rivoli,,"158 Rue de Rivoli, 75001 Paris France",,2.5,12,"{'1': '6', '2': '1', '3': '1', '4': '1', '5': '3'}","Asiatique, Chinoise, Restauration rapide, Vietnamienne, Diner, Restaurants de bière"
783786,Le Bastringue,"Bastringue était le nom familier des bals-musettes et des dancings, ce qui évoque la grande époque du Paris canaille des apaches et des marlous. Ici, sur le quai du bassin de la Villette, on descend en droite ligne des ancêtres à la « gueule d'atmosphère ». D'abord parce que le barman vous sert la main d'emblée. Ça étonne, et pourtant quoi de plus normal quand on va boire un verre chez quelqu'un ? Il y a aussi un beau bar en demi-cercle, en bois et en formica, deux petites salles familiales où l'on peut manger le soir jusqu'à minuit et le midi « à pas cher » (formule à 11 €) et une sacrée rangée de tables en terrasse, face aux bateaux à quai. Ce joli Bastringue donne sur l'extérieur grâce à des portes vitrées anciennes, qui se replient. Bref, si vous avez soif de lieux et de gens qui vivent Paris comme si elle n'était pas une des villes les plus chères du monde, allez trinquer là-bas à la bonne santé de l'esprit parigot.","67 Quai de la Seine, 75019 Paris France",€€ - €€€,4.0,521,"{'1': '13', '2': '20', '3': '37', '4': '209', '5': '242'}","Française, Bar, Européenne"
23892631,Chez Bebert,,"Boulevard Olivier Maillard, Paris France",,,0,,Française
719944,Thu Thu,,"51 B rue Hermel, 75018 Paris France",€€ - €€€,4.5,169,"{'1': '0', '2': '6', '3': '10', '4': '64', '5': '89'}","Asiatique, Vietnamienne"
16698870,Aroi Dee,,"39 Rue Jean de la Fontaine, 75016 Paris France",€€ - €€€,4.5,17,"{'1': '0', '2': '1', '3': '0', '4': '5', '5': '11'}","Asiatique, Thaï"
27912146,Laïzé Sainte-avoye,,"62 Rue Vieille Du Temple, 75003 Paris France",,,0,,
7141193,Le Ribera,,"66 B rue Jean de la Fontaine, 75016 Paris France",,3.0,7,"{'1': '0', '2': '3', '3': '0', '4': '4', '5': '0'}",Française
1726526,Tesoro d'Italia,Happy HOUR 18:30 20:30 (APERITIFS AU CHOIX ET DE COCKTAIL MAISON ACCOMPAGNEE DE CHARCUTERIE OFFERT),"41 rue de Paradis, 75010 Paris France",€€ - €€€,4.5,642,"{'1': '3', '2': '13', '3': '32', '4': '169', '5': '425'}","Italienne, Méditerranéenne, Européenne, Romana, Latium, Italie du Centre"
1336737,Cantinella,,"30 Fbg St Jacques, 75014 Paris France",€€ - €€€,4.5,151,"{'1': '4', '2': '4', '3': '7', '4': '43', '5': '93'}","Italienne, Méditerranéenne, Européenne"
32077898,Bar Les Ambassadeurs,,"10 Place De La Concorde, 75008 Paris France",,5.0,1,"{'1': '0', '2': '0', '3': '0', '4': '0', '5': '1'}","Bar, Internationale, Pub, Bars-restaurants"
